Date (YYYY-MM),Period (Months),Solar Radiation Level (W/m^2),,,
2022-01,1,6.7985,,,
2022-02,2,6.3288,,,
2022-03,3,5.2538,,,
2022-04,4,4.2684,,,
2022-05,5,3.0761,,,
2022-06,6,2.3542,,,
2022-07,7,2.2464,,,
2022-08,8,3.6487,,,
2022-09,9,5.0983,,,
2022-10,10,5.9244,,,
2022-11,11,7.1911,,,
2022-12,12,8.1811,,,
2023-01,13,7.4215,,,
2023-02,14,6.5479,,,
2023-03,15,5.5116,,,
2023-04,16,3.8189,,,
2023-05,17,2.7672,,,
2023-06,18,2.2334,,,
2023-07,19,2.31,,,
2023-08,20,3.4548,,,
2023-09,21,3.8962,,,
2023-10,22,6.1414,,,
2023-11,23,7.0063,,,
2023-12,24,6.4934,,,
2024-01,25,7.7254,,,
2024-02,26,5.9153,,,
2024-03,27,4.855,,,
2024-04,28,3.2664,,,
2024-05,29,2.4535,,,
2024-06,30,2.1019,,, 
2024-07,31,2.7686,,,
2024-08,32,2.7938,,,
2024-09,33,4.837,,,
2024-10,34,5.8416,,,
2024-11,35,6.8405,,,
2024-12,36,7.6877,,,
